Zip,Latitude,Longitude,Density
20585,38.893311,-77.014647,0
20586,38.902211,-77.047399,0
20590,38.883962,-77.022098,0
20591,38.893311,-77.014647,0
20593,38.893311,-77.014647,0
20594,38.88494,-77.018372,0
20597,38.893311,-77.014647,0
20599,38.893311,-77.014647,0
21240,39.142793,-76.651589,0
21241,39.284707,-76.620489,0
22035,38.855715,-77.361633,0
22036,38.735114,-77.07965,0
22037,38.831813,-77.288755,0
22038,38.852849,-77.30199,0
22185,38.831813,-77.288755,0
22214,38.880811,-77.11295,0
22215,38.880811,-77.11295,0
22216,38.880811,-77.11295,0
22217,38.880811,-77.11295,0
22218,38.880811,-77.11295,0
22219,38.880811,-77.11295,0
22222,38.861462,-77.053599,0
22223,38.880811,-77.11295,0
22225,38.880811,-77.11295,0
22226,38.883358,-77.10281,0
22227,38.880811,-77.11295,0
22229,38.880811,-77.11295,0
22230,38.87972,-77.110817,0
22234,38.880811,-77.11295,0
22240,38.856623,-77.051788,0
22241,38.880811,-77.11295,0
22242,38.850879,-77.052336,0
22243,38.86045,-77.051569,0
22244,38.854522,-77.052035,0
22245,38.851773,-77.052296,0
22246,38.880811,-77.11295,0
23250,37.507498,-77.332916,0
23255,37.531296,-77.416103,0
23260,37.524246,-77.493157,0
23261,37.524246,-77.493157,0
23266,37.567896,-77.528308,0
23269,37.524246,-77.493157,0
23270,37.524246,-77.493157,0
23272,37.524246,-77.493157,0
23273,37.524246,-77.493157,0
23274,37.524246,-77.493157,0
23275,37.524246,-77.493157,0
23276,37.524246,-77.493157,0
23278,37.524246,-77.493157,0
23279,37.524246,-77.493157,0
23280,37.637622,-77.46836,0
23282,37.524246,-77.493157,0
23284,37.549446,-77.451155,0
23285,37.524246,-77.493157,0
23286,37.524246,-77.493157,0
23288,37.531296,-77.416103,0
23289,37.531296,-77.416103,0
23290,37.524246,-77.493157,0
23291,37.524246,-77.493157,0
23292,37.524246,-77.493157,0
23293,37.524246,-77.493157,0
25305,38.335798,-81.612344,0
28244,35.26002,-80.804151,0
28246,35.227542,-80.842543,0
28247,35.065595,-80.851149,0
28250,35.26002,-80.804151,0
28253,35.26002,-80.804151,0
28254,35.26002,-80.804151,0
28255,35.26002,-80.804151,0
28256,35.26002,-80.804151,0
28258,35.26002,-80.804151,0
28260,35.26002,-80.804151,0
28261,35.26002,-80.804151,0
28282,35.224242,-80.844743,0
28283,35.26002,-80.804151,0
28284,35.26002,-80.804151,0
28285,35.26002,-80.804151,0
28286,35.26002,-80.804151,0
28287,35.26002,-80.804151,0
28288,35.26002,-80.804151,0
28289,35.26002,-80.804151,0
28290,35.26002,-80.804151,0
28296,35.225242,-80.845843,0
28297,35.26002,-80.804151,0
28299,35.26002,-80.804151,0
29147,34.005992,-80.970766,0
31213,32.839289,-83.638752,0
31524,31.221995,-81.482551,0
33101,25.779076,-80.19782,0
33102,25.558428,-80.458168,0
33107,25.558428,-80.458168,0
37243,36.167606,-86.784498,0
37244,36.186605,-86.785248,0
37245,36.186605,-86.785248,0
37246,36.158606,-86.789998,0
37247,36.186605,-86.785248,0
37248,36.186605,-86.785248,0
37249,36.186605,-86.785248,0
37250,36.186605,-86.785248,0
38131,35.063236,-89.99403,0
39269,32.300996,-90.18859,0
39271,32.311287,-90.397157,0
40231,38.188962,-85.676819,0
40232,38.188962,-85.676819,0
40233,38.188962,-85.676819,0
47907,40.424923,-86.916215,0
48233,42.239933,-83.150823,0
48242,42.20649,-83.35297,0
48243,42.239933,-83.150823,0
48244,42.239933,-83.150823,0
48246,42.712944,-83.348152,0
48254,42.239933,-83.150823,0
48255,42.239933,-83.150823,0
48258,42.239933,-83.150823,0
48260,42.239933,-83.150823,0
48264,42.239933,-83.150823,0
48265,42.239933,-83.150823,0
48266,42.239933,-83.150823,0
48267,42.239933,-83.150823,0
48268,42.239933,-83.150823,0
48269,42.239933,-83.150823,0
48272,42.239933,-83.150823,0
48274,42.239933,-83.150823,0
48275,42.239933,-83.150823,0
48277,42.239933,-83.150823,0
48278,42.239933,-83.150823,0
48279,42.239933,-83.150823,0
48288,42.239933,-83.150823,0
48295,42.239933,-83.150823,0
48297,42.239933,-83.150823,0
48299,42.239933,-83.150823,0
48397,42.491736,-83.040222,0
48398,42.660091,-83.3863,0
48551,42.978995,-83.713124,0
48552,42.977895,-83.713074,0
48553,42.973627,-83.720306,0
48554,42.972244,-83.79463,0
48555,43.011277,-83.710756,0
48556,43.032677,-83.646255,0
48557,43.080578,-83.783675,0
48559,43.002,-83.692507,0
48563,44.407339,-84.695963,0
48567,42.993102,-83.655654,0
48667,43.647297,-84.387331,0
48670,43.637471,-84.256758,0
48674,43.612884,-84.197125,0
48686,43.647297,-84.387331,0
